iter	Logloss
118	0.3776303228
119	0.3763758704
120	0.3750939104
121	0.3734564863
122	0.3728587403
123	0.3713743962
124	0.3702345646
125	0.3690095852
126	0.3678784502
127	0.3666012443
128	0.3651603275
129	0.3641240151
130	0.3629044407
131	0.3621973632
132	0.360997844
133	0.3594926023
134	0.3581088572
135	0.3570817363
136	0.3552675098
137	0.3541633797
138	0.3532239925
139	0.3519512213
140	0.3505952207
141	0.34978493
142	0.348806431
143	0.3472028919
144	0.3461475851
145	0.344862587
146	0.3436986023
147	0.3429861208
148	0.3418384212
149	0.3406787197
150	0.3393707891
151	0.3381056183
152	0.3370440533
153	0.3362300388
154	0.3350409127
155	0.3338857291
156	0.3328170617
157	0.3317875264
158	0.3308033074
159	0.3296489149
160	0.3289185025
161	0.328305997
162	0.3272626593
163	0.3268362663
164	0.3256957273
165	0.3244943084
166	0.3232307492
167	0.3222961987
168	0.3207275876
169	0.3198594335
170	0.3191528938
171	0.3181478574
172	0.3170159817
173	0.3161231395
174	0.3151804702
175	0.3142321741
176	0.3130827383
177	0.3118175768
178	0.3108752773
179	0.3101707948
180	0.3092086844
181	0.3083770164
182	0.3075107352
183	0.3062834018
184	0.305394485
185	0.3043516458
186	0.3035432074
187	0.3026621122
188	0.3016584278
189	0.3007616904
190	0.300166791
191	0.2994138527
192	0.2987843037
193	0.2976238659
194	0.2968201492
195	0.2960889922
196	0.295065827
197	0.2944891461
198	0.2935686678
199	0.2925046497
200	0.2916356176
201	0.2906625667
202	0.2901979161
203	0.2895447803
204	0.2887566561
205	0.2881742984
206	0.2874299485
207	0.2868570553
208	0.2863688303
209	0.2857665817
210	0.2849921238
211	0.2841782847
212	0.2836319362
213	0.2828225198
214	0.2821055977
215	0.281392328
216	0.2809398466
217	0.2804144055
218	0.2795298656
219	0.2788840977
220	0.2780356131
221	0.2773681916
222	0.2764869302
223	0.2757189126
224	0.2750024674
225	0.2743986915
226	0.2736956239
227	0.2729888228
228	0.2723008955
229	0.2715863369
230	0.2711481981
231	0.2702292656
232	0.2696774509
233	0.2689391905
234	0.2682986511
235	0.2676850554
236	0.2669071034
237	0.2660040132
238	0.2654114371
239	0.2649564207
240	0.2642003556
241	0.2633219972
242	0.2624747159
243	0.2618468046
244	0.2612120273
245	0.2606928899
246	0.2603725741
247	0.2594480655
248	0.2585724866
249	0.2578466512
250	0.2573580778
251	0.2569784578
252	0.2562695293
253	0.255909979
254	0.2553201307
255	0.2547109787
256	0.2541825126
257	0.2536979614
258	0.2532795275
259	0.2526985324
260	0.2520081227
261	0.2514391953
262	0.2507655908
263	0.2503210957
264	0.2497199079
265	0.2490040253
266	0.2484636552
267	0.2480573874
268	0.2475879997
269	0.2468586352
270	0.2465148143
271	0.2457500077
272	0.2452141773
273	0.2447916257
274	0.2441227167
275	0.2435091142
276	0.2429303867
277	0.2421452142
278	0.2416742074
279	0.241307842
280	0.2408097305
281	0.2404597958
282	0.2397379352
283	0.2392221078
284	0.2386102498
285	0.2381886524
286	0.2377664855
287	0.2372637522
288	0.2368569517
289	0.2365554811
290	0.2360150936
291	0.2356563932
292	0.2352696374
293	0.2349550888
294	0.2342619468
295	0.2337713299
296	0.2329869987
297	0.2323583491
298	0.231943322
299	0.2311763891
300	0.2307569404
301	0.2300833206
302	0.2296731533
303	0.2291729558
304	0.2288543059
305	0.2283524183
306	0.227791928
307	0.2273573567
308	0.2268644309
309	0.2263102462
310	0.2258942408
311	0.2253614607
312	0.2250468109
313	0.2245201968
314	0.224188849
315	0.2236961692
316	0.2233795709
317	0.2229977788
318	0.2226061734
319	0.2222326402
320	0.2217283925
321	0.2213270941
322	0.220786531
323	0.2202020682
324	0.2196619369
325	0.2192300637
326	0.2185729866
327	0.2179305439
328	0.2175790625
329	0.2171805605
330	0.2169167971
331	0.2164165101
332	0.2161591587
333	0.2156943324
334	0.2152149996
335	0.2147316573
336	0.2144736812
337	0.2140518957
338	0.2137141282
339	0.2133830809
340	0.2127432332
341	0.2123545489
342	0.2118835592
343	0.2116836733
344	0.2113684834
345	0.2110473325
346	0.2105423974
347	0.2101818184
348	0.2099036214
349	0.2095449281
350	0.2090645868
351	0.2084850827
352	0.2080819288
353	0.2076174258
354	0.2071285626
355	0.2066936141
356	0.2063815479
357	0.2059944239
358	0.2054873454
359	0.2051712962
360	0.2046692715
361	0.2043202555
362	0.2038059162
363	0.2034189437
364	0.2031778529
365	0.2025299462
366	0.2022656003
367	0.2018001955
368	0.2015014601
369	0.2010868413
370	0.200665399
371	0.2002821702
372	0.1998810496
373	0.1995281237
374	0.1991262123
375	0.1989897177
376	0.1985467201
377	0.1982128456
378	0.1977782451
379	0.1975547735
380	0.1971653765
381	0.1967611033
382	0.1964008065
383	0.1959101879
384	0.1955021898
385	0.1951002172
386	0.1948375503
387	0.1944792897
388	0.1941906429
389	0.1937365806
390	0.1933551084
391	0.1930093955
392	0.1926219574
393	0.1923577876
394	0.1920051384
395	0.1915633192
396	0.1913195631
397	0.1908762401
398	0.1905242506
399	0.1901465534
400	0.1898159186
401	0.1894697115
402	0.188911648
403	0.1884160999
404	0.1879974941
405	0.1875270264
406	0.1870680073
407	0.1867652679
408	0.1864357241
409	0.1860087788
410	0.1857171211
411	0.1854819355
412	0.1851455403
413	0.1848130056
414	0.1845485811
415	0.1842678097
416	0.1839584329
417	0.183617309
418	0.1831532489
419	0.1827545714
420	0.1824801895
421	0.1821287177
422	0.1818043281
423	0.1815767306
424	0.1811645129
425	0.1808969196
426	0.1805599521
427	0.180315232
428	0.1799270496
429	0.1796838127
430	0.1793585188
431	0.1791016702
432	0.1788416885
433	0.1784321526
434	0.1781623423
435	0.1778974535
436	0.1775268696
437	0.1772507758
438	0.1769115371
439	0.1766155564
440	0.176236066
441	0.1761030783
442	0.1757956706
443	0.1755277247
444	0.1752585107
445	0.1748113274
446	0.1745204196
447	0.1742057146
448	0.1739092595
449	0.1736132395
450	0.1734485425
451	0.1731281871
452	0.1729005478
453	0.1725016895
454	0.172286416
455	0.1719688651
456	0.17184618
457	0.1715116049
458	0.1713077035
459	0.1710417761
460	0.1708624817
461	0.1706375666
462	0.1705228233
463	0.170339968
464	0.1701023765
465	0.1697591774
466	0.16941903
467	0.169001874
468	0.1687801671
469	0.1684296105
470	0.1680604948
471	0.1678048871
472	0.1676658587
473	0.1674194432
474	0.1670651307
475	0.1667636743
476	0.166625232
477	0.1662053839
478	0.1658928906
479	0.1655719912
480	0.1652663631
481	0.1650333135
482	0.1647475283
483	0.1644980581
484	0.164152109
485	0.1637560403
486	0.163468319
487	0.1631269056
488	0.1629667827
489	0.1627983077
490	0.1624646413
491	0.1620679739
492	0.1618536331
493	0.161434453
494	0.1611942437
495	0.1609554367
496	0.1607618828
497	0.1604106899
498	0.1602268977
499	0.1599166028
500	0.159691312
501	0.1594526795
502	0.1591470741
503	0.158978495
504	0.1586662053
505	0.1584353523
506	0.1583010729
507	0.1579267489
508	0.1576924513
509	0.1573811002
510	0.157184161
511	0.1568895967
512	0.1567016676
513	0.1565508484
514	0.1563127579
515	0.1560684534
516	0.1557653702
517	0.155570041
518	0.1553755688
519	0.1551677582
520	0.1548588321
521	0.1545162129
522	0.1543054446
523	0.15413959
524	0.1540348201
525	0.1537564571
526	0.1535507308
527	0.1533632866
528	0.1531306449
529	0.1528570666
530	0.1526027951
531	0.1523144223
532	0.1520466648
533	0.1517854428
534	0.1513947698
535	0.1512031557
536	0.1510560433
537	0.1507493027
538	0.1505586191
539	0.1502486296
540	0.1501057813
541	0.1499920261
542	0.1497284731
543	0.1494809497
544	0.1493455555
545	0.1491678214
546	0.149031939
547	0.1487286004
548	0.1484653319
549	0.1482431644
550	0.1479713576
551	0.1477401128
552	0.147564246
553	0.1474032205
554	0.1471643351
555	0.1469579485
556	0.1467128657
557	0.1465153765
558	0.1464111143
559	0.1461348521
560	0.1459182508
561	0.1457587537
562	0.1455352077
563	0.145229714
564	0.1449787007
565	0.1447307507
566	0.1443650828
567	0.1441475
568	0.1438808001
569	0.1438098721
570	0.1435326526
571	0.1433659768
572	0.1432591746
573	0.143043642
574	0.1428065592
575	0.1426750899
576	0.142505849
577	0.1421155043
578	0.1418945707
579	0.141740848
580	0.141560324
581	0.1413726383
582	0.1411898027
583	0.1409128216
584	0.140743782
585	0.1405171468
586	0.1402635261
587	0.1400954335
588	0.1399670529
589	0.139784453
590	0.1394129672
591	0.1392484078
592	0.1389615578
593	0.1386576553
594	0.1385001312
595	0.1382821588
596	0.1381236332
597	0.1380160239
598	0.1376907295
599	0.137533512
600	0.13725854
601	0.1371003422
602	0.1369359603
603	0.136691557
604	0.1364526061
605	0.1364290818
606	0.1362116278
607	0.1359501225
608	0.1357228488
609	0.1356016433
610	0.1354417062
611	0.1352226311
612	0.1350089669
613	0.1348036379
614	0.134553877
615	0.1343432978
616	0.1341347009
617	0.1339307651
618	0.1337214199
619	0.1334388366
620	0.1332090521
621	0.133053002
622	0.1329038249
623	0.1326185422
624	0.1324465605
625	0.1322277441
626	0.131982881
627	0.1318239842
628	0.1316837215
629	0.1314605917
630	0.1311638724
631	0.1310115631
632	0.1307972923
633	0.1306590454
634	0.1303729867
635	0.1301780986
636	0.1300595405
637	0.1299202148
638	0.1297345688
639	0.1295652463
640	0.129320152
641	0.1291058896
642	0.1289190081
643	0.1287044377
644	0.1286043764
645	0.1283666155
646	0.1281898088
647	0.1279623643
648	0.1278345629
649	0.1276650141
650	0.1274188332
651	0.1272692414
652	0.126987435
653	0.1269014821
654	0.1267241548
655	0.1265965201
656	0.1264340861
657	0.1262617065
658	0.1261305632
659	0.125874728
660	0.1256521256
661	0.1254720576
662	0.1252850671
663	0.1252036314
664	0.1249705423
665	0.1247899599
666	0.1245859625
667	0.1243027755
668	0.124185633
669	0.1240015891
670	0.1238539594
671	0.1235802327
672	0.12341713
673	0.1233128618
674	0.1230964873
675	0.1230050614
676	0.1228658519
677	0.1227154816
678	0.1225681751
679	0.1224148566
680	0.122254042
681	0.1220564661
682	0.1218170291
683	0.1217088734
684	0.1215488746
685	0.1214037613
686	0.1211888382
687	0.1209990628
688	0.1208608402
689	0.1205947363
690	0.1203624177
691	0.1201654718
692	0.1199259611
693	0.1197226688
694	0.1195495407
695	0.1193486255
696	0.1191775367
697	0.1189887139
698	0.1187723038
699	0.1185565438
700	0.1184356208
701	0.1182681255
702	0.1180609401
703	0.117849035
704	0.1177039136
705	0.1175269755
706	0.1172957055
707	0.1171606701
708	0.1170642778
709	0.1169093198
710	0.1166484918
711	0.1165342749
712	0.1163272602
713	0.1162451375
714	0.1161113711
715	0.1159632374
716	0.1157986954
717	0.1156088697
718	0.1154700672
719	0.1152918616
720	0.1150976457
721	0.1149511114
722	0.114712019
723	0.1145886612
724	0.1144427175
725	0.1143114295
726	0.1141348164
727	0.1140308257
728	0.1138724628
729	0.1136951726
730	0.1134976709
731	0.1133247868
732	0.1131368703
733	0.112964742
734	0.1128639674
735	0.1127949597
736	0.1126131072
737	0.112384298
738	0.1122663779
739	0.1121207481
740	0.1119485972
741	0.1117982511
742	0.1115934814
743	0.1114578224
744	0.1113252262
745	0.1111446618
746	0.1109590243
747	0.1107854453
748	0.1106576384
749	0.110499398
750	0.1102807793
751	0.1101889232
752	0.1100023671
753	0.1098757078
754	0.1097311175
755	0.1095714418
756	0.1094131641
757	0.1092695961
758	0.1090519948
759	0.1089441132
760	0.1087563985
761	0.1087305763
762	0.1085369089
763	0.1083400209
764	0.1081794197
765	0.1079818846
766	0.107757503
767	0.1076397352
768	0.1074710262
769	0.1073478871
770	0.1072393191
771	0.1070733108
772	0.1069987203
773	0.1068781195
774	0.1067318235
775	0.1066170748
776	0.1064321553
777	0.1063409844
778	0.1061927889
779	0.1061007899
780	0.1059667141
781	0.1057493188
782	0.1056469857
783	0.1055086003
784	0.1054007844
785	0.1051728538
786	0.105041264
787	0.1049044366
788	0.1047702468
789	0.1046719249
790	0.1044904634
791	0.1043714631
792	0.1041827205
793	0.1040495129
794	0.1038924557
795	0.1037415316
796	0.1036147706
797	0.1035506095
798	0.1034211737
799	0.103267952
800	0.1030754817
801	0.102919602
802	0.1028105406
803	0.1026506932
804	0.102429325
805	0.1022843761
806	0.1022119801
807	0.1021162325
808	0.1019456326
809	0.1018015225
810	0.1017195386
811	0.1015678794
812	0.1014344361
813	0.1012897735
814	0.1012029438
815	0.1010346401
816	0.100888289
817	0.1007024581
818	0.1005574492
819	0.1003804078
820	0.1002094367
821	0.100121309
822	0.09995829049
823	0.09976045087
824	0.09962621126
825	0.09946981438
826	0.09931626341
827	0.09915844318
828	0.09900300993
829	0.09887184682
830	0.09876515425
831	0.09865044392
832	0.09851617845
833	0.09840394208
834	0.09825251802
835	0.09811742494
836	0.09800186177
837	0.09790512193
838	0.09775569825
839	0.0976292124
840	0.09750472927
841	0.09736135056
842	0.09719942954
843	0.09709483606
844	0.09698728933
845	0.0968268646
846	0.09670444945
847	0.09664955967
848	0.0964992292
849	0.09639995085
850	0.09625527873
851	0.09611171857
852	0.09596065983
853	0.09588809783
854	0.09575707631
855	0.09563066715
856	0.09546195871
857	0.09533442773
858	0.09518563114
859	0.09507008982
860	0.0948673179
861	0.09473453784
862	0.09458363128
863	0.0943924233
864	0.09426145898
865	0.09405708007
866	0.09394672847
867	0.09376313536
868	0.09361037724
869	0.09349249317
870	0.0934226135
871	0.09324811009
872	0.09310470968
873	0.09297679648
874	0.09284066045
875	0.0926912255
876	0.0926038767
877	0.09249330704
878	0.09236174325
879	0.09225119007
880	0.09213125819
881	0.0919617275
882	0.09179691992
883	0.09167305991
884	0.09155641136
885	0.09144039113
886	0.09133730009
887	0.09123622985
888	0.0911215831
889	0.09093909564
890	0.09080599792
891	0.09068479031
892	0.09052168929
893	0.09038455013
894	0.09024606591
895	0.09007911091
896	0.09000842734
897	0.08994391776
898	0.08983308862
899	0.08970020128
900	0.08959916927
901	0.08950496837
902	0.08940147577
903	0.08929350804
904	0.0891615577
905	0.08907128835
906	0.08895901958
907	0.0888057121
908	0.08864449802
909	0.08846453932
910	0.08834387113
911	0.08824104771
912	0.08812606397
913	0.08793934771
914	0.08780354862
915	0.08765577904
916	0.0875829394
917	0.08746114178
918	0.08738057675
919	0.08725340419
920	0.08711600841
921	0.08695483052
922	0.08684290487
923	0.08670295817
924	0.08660053209
925	0.08648222487
926	0.08637122474
927	0.0862816188
928	0.08618200358
929	0.08608677709
930	0.0860356622
931	0.08592957697
932	0.08579823726
933	0.08569929607
934	0.08562998796
935	0.08546727288
936	0.08538098765
937	0.08526956483
938	0.08516286029
939	0.08507117998
940	0.08494247461
941	0.08483068063
942	0.08475871665
943	0.08463645408
944	0.08456949218
945	0.08445691154
946	0.08432195848
947	0.0842198556
948	0.08415210085
949	0.08408272424
950	0.08393393794
951	0.08377824372
952	0.08366703569
953	0.08358230595
954	0.08354479291
955	0.08338497356
956	0.08322624155
957	0.08310442981
958	0.08301195374
959	0.0829541295
960	0.08280927354
961	0.0827057845
962	0.08261530358
963	0.08258450123
964	0.08255111008
965	0.08240199455
966	0.08233143473
967	0.08221113633
968	0.08215143816
969	0.08200899264
970	0.08188551653
971	0.08179781674
972	0.08167216524
973	0.08152536414
974	0.08141971482
975	0.08131202402
976	0.08121263149
977	0.08108081647
978	0.08097665459
979	0.08087594163
980	0.08071932999
981	0.08059747031
982	0.0804842716
983	0.08041561859
984	0.08032062008
985	0.08016179956
986	0.08003899535
987	0.07994284418
988	0.07984648412
989	0.07975406876
990	0.07961584526
991	0.07946023219
992	0.07936058534
993	0.07923520146
994	0.07914757941
995	0.07906658686
996	0.07892948212
997	0.07886197428
998	0.07877864585
999	0.07868795908
